pointDistance, pathLength, DFSVisit, BFSVisit, AStarVisit,,,,,,,,,,,,,,,
70.71068,2711,8720,7295,6495,,,,,,,,,,,,,,,
70.71068,2611,3643,5193,4722,,,,,,,,,,,,,,,
70.71068,1427,2455,3209,2821,,,,,,,,,,,,DFS,BFS,A*,
70.71068,3697,6486,8683,5089,,,,,,,,,,,,4972.943,5448.928,5003.3736,avg
70.71068,2071,4082,6041,4066,,,,,,,,,,,,,,,
70.71068,1015,1468,1604,1417,,,,,,,,,,,,,,,
70.71068,1291,5779,2485,1570,,,,,,,,,,,,DFS,BFS,A*,wins
70.71068,1633,1866,3287,3037,,,,,,,,,,,,4417,1127,4441,
70.71068,2597,5396,6572,5502,,,,,,,,,,,,,,,
70.71068,2049,8777,4105,8593,,,,,,,,,,,,,,,
70.71068,3625,5725,7188,4936,,,,,,,,,,,,,,,
70.71068,3341,5752,8335,5684,,,,,,,,,,,,,,,
70.71068,3903,7171,9852,6869,,,,,,,,,,,,,,,
70.71068,2977,4852,6134,4078,,,,,,,,,,,,,,,
70.71068,3199,7982,8475,6884,,,,,,,,,,,,,,,
70.71068,3237,4785,9231,8403,,,,,,,,,,,,,,,
70.71068,3281,4036,7371,5978,,,,,,,,,,,,,,,
70.71068,4249,7272,9090,6613,,,,,,,,,,,,,,,
70.71068,2549,3919,4737,3683,,,,,,,,,,,,,,,
70.71068,3243,7630,6367,5620,,,,,,,,,,,,,,,
70.71068,511,9528,2026,9200,,,,,,,,,,,,,,,
70.71068,2063,2914,4633,3736,,,,,,,,,,,,,,,
70.71068,1199,2351,2596,2427,,,,,,,,,,,,,,,
70.71068,1285,1670,1916,1628,,,,,,,,,,,,,,,
70.71068,2421,8387,6331,8995,,,,,,,,,,,,,,,
70.71068,2253,3724,5740,4166,,,,,,,,,,,,,,,
70.71068,1767,2349,3255,2553,,,,,,,,,,,,,,,
70.71068,2107,9405,3536,8980,,,,,,,,,,,,,,,
70.71068,2177,8523,5661,8506,,,,,,,,,,,,,,,
70.71068,1549,2032,3196,1905,,,,,,,,,,,,,,,
70.71068,3277,7885,6960,7994,,,,,,,,,,,,,,,
70.71068,3087,6556,7925,5273,,,,,,,,,,,,,,,
70.71068,4079,6979,9107,6775,,,,,,,,,,,,,,,
70.71068,4103,8261,8393,7700,,,,,,,,,,,,,,,
70.71068,1591,2318,3738,9557,,,,,,,,,,,,,,,
70.71068,1775,3111,4453,2325,,,,,,,,,,,,,,,
70.71068,347,382,469,432,,,,,,,,,,,,,,,
70.71068,1737,2260,2949,9445,,,,,,,,,,,,,,,
70.71068,2785,4326,6365,4154,,,,,,,,,,,,,,,
70.71068,3549,5731,8125,5790,,,,,,,,,,,,,,,
70.71068,1485,2437,3011,2722,,,,,,,,,,,,,,,
70.71068,2137,4036,5073,3218,,,,,,,,,,,,,,,
70.71068,2485,8084,5376,6234,,,,,,,,,,,,,,,
70.71068,1379,1859,2061,9679,,,,,,,,,,,,,,,
70.71068,3231,4996,9524,4753,,,,,,,,,,,,,,,
70.71068,1229,2108,2263,9266,,,,,,,,,,,,,,,
70.71068,3523,4445,9987,6727,,,,,,,,,,,,,,,
70.71068,941,3568,4624,9380,,,,,,,,,,,,,,,
70.71068,3491,7504,8978,6188,,,,,,,,,,,,,,,
70.71068,1241,1801,2038,9490,,,,,,,,,,,,,,,
70.71068,2105,3028,4426,8870,,,,,,,,,,,,,,,
70.71068,881,1046,1413,1088,,,,,,,,,,,,,,,
70.71068,1427,1839,2370,1616,,,,,,,,,,,,,,,
70.71068,1833,2325,3981,7111,,,,,,,,,,,,,,,
70.71068,2061,5399,4617,5376,,,,,,,,,,,,,,,
70.71068,3469,5251,8969,6247,,,,,,,,,,,,,,,
70.71068,2365,7417,7949,5330,,,,,,,,,,,,,,,
70.71068,2765,6863,9643,6883,,,,,,,,,,,,,,,
70.71068,2847,5341,6925,5334,,,,,,,,,,,,,,,
70.71068,1271,1645,2099,1733,,,,,,,,,,,,,,,
70.71068,3289,5488,7054,4938,,,,,,,,,,,,,,,
70.71068,3109,3699,9288,4869,,,,,,,,,,,,,,,
70.71068,1039,1162,1510,9636,,,,,,,,,,,,,,,
70.71068,1841,2420,3104,2310,,,,,,,,,,,,,,,
70.71068,2643,4184,6341,4592,,,,,,,,,,,,,,,
70.71068,1381,2019,3891,9593,,,,,,,,,,,,,,,
