pointDistance, pathLength, DFSVisit, BFSVisit, AStarVisit,,,,,,,,,,,,,
140.00714,1589,1872,3605,6725,,,,,,,,,,,,,
140.00714,3499,8342,9808,7402,,,,,,,,,,,,,
140.00714,1649,9453,3728,3981,,,,,,,,,,,,,
140.00714,2349,9219,3858,3308,,,,,,,,,,,,,
140.00714,2441,7967,5399,8125,,,,,,,,,,,,,
140.00714,2777,4065,5481,5812,,,,,,,,,,,,,
140.00714,3337,4921,10000,4852,,,,,,,,,,,,,
140.00714,2499,3055,8595,4474,,,,,,,,,,,,,
140.00714,1527,8742,3273,1942,,,,,,,,,,,,,
140.00714,3379,6931,8512,8662,,,,,,,,,,,,,
140.00714,1793,8850,4365,8715,,,,,,,,,,,,,
140.00714,2847,4772,6420,8914,,,,,,,,,,,,,
140.00714,2785,3754,6372,5023,,,,,,,,,,,,,
140.00714,1693,2654,4100,9267,,,,,,,,,,,,,
140.00714,1799,1980,4183,9573,,,,,,,,,,,,,
140.00714,1941,9145,4971,3272,,,,,,,,,,,,,
140.00714,2119,8454,5594,2477,,,,,,,,,,,,,
140.00714,3129,7678,9301,7743,,,,,,,,,,,,,
140.00714,859,9902,2148,9911,,,,,,,,,,,,,
140.00714,2135,9012,4663,7825,,,,,,,,,,,,,
140.00714,2633,4988,7258,4050,,,,,,,,,,,,,
140.00714,1783,4546,4508,8322,,,,,,,,,,,,,
140.00714,1581,9136,2861,9594,,,,,,,,,,,,,
140.00714,1937,7384,4348,5558,,,,,,,,,,,,,
140.00714,2829,5380,6148,4995,,,,,,,,,,,,,
140.00714,3047,5359,9875,7966,,,,,,,,,,,,,
140.00714,2433,3734,5873,8896,,,,,,,,,,,,,
140.00714,3395,8733,7423,7258,,,,,,,,,,,,,
140.00714,3317,5271,9121,8720,,,,,,,,,,,,,
140.00714,1653,5811,6340,5678,,,,,,,,,,,,,
140.00714,3637,7713,9011,7459,,,,,,,,,,,,,
140.00714,1775,2515,3621,9349,,,,,,,,,,,,,
140.00714,2397,6683,7163,5787,,,,,,,,,,,,,
140.00714,2601,5571,9542,7541,,,,,,,,,,,,,
140.00714,3153,4414,5756,4436,,,,,,,,,,,,,
140.00714,1857,9444,3842,2371,,,,,,,,,,,,,
140.00714,1931,3624,3462,3116,,,,,,,,,,,,,
140.00714,2281,2866,4674,3127,,,,,,,,,,,,,
140.00714,2565,5655,4701,6924,,,,,,,,,,,,,
140.00714,2659,5863,8224,6449,,,,,,,,,,,,,
140.00714,3881,6230,8081,5167,,,,,,,,,,,,,
140.00714,2431,3513,6699,3486,,,,,,,,,,,,,
140.00714,2311,9616,5808,7377,,,,,,,,,,,,,
140.00714,2181,4893,5387,3060,,,,,,,,,,,,,
140.00714,1401,9238,2896,8243,,,,,,,,,,,,,
140.00714,1377,6281,2297,5985,,,,,,,,,,,,,
140.00714,2245,3812,5239,7783,,,,,,,,,,,,,
140.00714,2067,7656,5035,4335,,,,,,,,,,,,,
140.00714,1559,9691,6418,9481,,,,,,,,,,,,,
140.00714,2047,7267,5333,3709,,,,,,,,,,,,,
140.00714,4033,6269,8956,6479,,,,,,,,,,,,,
140.00714,1429,4248,2266,4173,,,,,,,,,,,,,
140.00714,3051,5954,8184,6273,,,,,,,,,,,,,
140.00714,1245,1477,2447,8335,,,,,,,,,,,,,
140.00714,2387,9372,6802,3269,,,,,,,,,,,,,
140.00714,3383,8654,6028,6349,,,,,,,,,,,,,
140.00714,1777,7050,3150,7074,,,,,,,,,,,,,
140.00714,3543,5463,8318,7064,,,,,,,,,,,,,
140.00714,1209,2578,7656,1461,,,,,,,,,,,,,
140.00714,1975,3544,4314,4129,,,,,,,,,,,,,
140.00714,3289,6601,8145,6205,,,,,,,,,,,,,
140.00714,3621,5357,7252,5961,,,,,,,,,,,,,
140.00714,3491,8072,8835,6050,,,,,,,,,,,,,
140.00714,4111,6765,9846,7773,,,,,,,,,,,,,
140.00714,1311,2434,2720,9741,,,,,,,,,,,,,
140.00714,1479,9270,2721,9098,,,,,,,,,,,,,
140.00714,1641,9321,8716,3754,,,,,,,,,,,,,
140.00714,2825,7507,9887,7033,,,,,,,,,,,,,
140.00714,2783,5144,5618,8534,,,,,,,,,,,,,
140.00714,2395,4873,6175,7288,,,,,,,,,,,,,
140.00714,4073,6648,9185,8739,,,,,,,,,,,,,
140.00714,2729,6665,9710,9219,,,,,,,,,,,,,
140.00714,2909,8309,6644,9283,,,,,,,,,,,,,
140.00714,3019,8229,6374,8302,,,,,,,,,,,,,
140.00714,2819,3759,7054,8239,,,,,,,,,,,,,
140.00714,3283,5754,8656,7000,,,,,,,,,,,,,
140.00714,2273,2707,4869,8322,,,,,,,,,,,,,
140.00714,3971,7150,9384,6783,,,,,,,,,,,,,
140.00714,2159,4466,4474,7894,,,,,,,,,,,,,
140.00714,3961,6792,8111,6492,,,,,,,,,,,,,
140.00714,1623,2221,2913,2174,,,,,,,,,,,,,
140.00714,3025,4663,5932,4913,,,,,,,,,,,,,
140.00714,2011,2502,3869,9465,,,,,,,,,,,,,
140.00714,2997,5705,8103,5207,,,,,,,,,,,,,
140.00714,941,8186,1887,1090,,,,,,,,,,,,,
140.00714,3099,8448,7661,3892,,,,,,,,,,,,,
140.00714,2785,5336,7731,4315,,,,,,,,,,,,,
140.00714,1811,9788,3931,3245,,,,,,,,,,,,,
140.00714,1223,3412,2764,3445,,,,,,,,,,,,,
140.00714,1593,9222,2587,5112,,,,,,,,,,,,,
140.00714,2723,8468,5401,4663,,,,,,,,,,,,,
140.00714,3825,5707,7067,5139,,,,,,,,,,,,,
140.00714,3197,7874,6836,4744,,,,,,,,,,,,,
140.00714,2585,3757,5078,4588,,,,,,,,,,,,,
140.00714,2865,4767,6385,5198,,,,,,,,,,,,,
140.00714,1849,6946,3832,2690,,,,,,,,,,,,,
140.00714,2125,2679,4062,5911,,,,,,,,,,,,,
140.00714,1841,3754,4249,2286,,,,,,,,,,,,,
140.00714,3611,5435,8644,8619,,,,,,,,,,,,,
140.00714,3209,5274,6798,5134,,,,,,,,,,,,,
140.00714,2431,3358,5474,6803,,,,,,,,,,,,,
140.00714,3123,7903,6299,8679,,,,,,,,,,,,,
140.00714,2187,2628,3495,6172,,,,,,,,,,,,,
140.00714,1385,8775,8367,3949,,,,,,,,,,,,,
140.00714,1787,9504,3956,9574,,,,,,,,,,,,,
140.00714,2739,7493,6151,8223,,,,,,,,,,,,,
140.00714,4055,7486,9443,7623,,,,,,,,,,,,,
140.00714,1319,1718,2460,1733,,,,,,,,,,,,,
140.00714,3355,7115,6463,6136,,,,,,,,,,,,,
140.00714,2661,3892,7642,6092,,,,,,,,,,,,,
140.00714,3049,8928,7186,7112,,,,,,,,,,,,,
140.00714,2289,2857,4615,3722,,,,,,,,,,,,,
140.00714,2275,8940,4742,8147,,,,,,,,,,,,,
140.00714,1011,1221,1732,2354,,,,,,,,,,,,,
140.00714,2807,5497,5904,6068,,,,,,,,,,,,,
140.00714,909,6503,1157,6514,,,,,,,,,,,,,
140.00714,1645,2232,3395,9007,,,,,,,,,,,,,
140.00714,2425,7493,6005,4449,,,,,,,,,,,,,
140.00714,2037,2331,5333,8860,,,,,,,,,,,,,
140.00714,1621,2041,2564,2587,,,,,,,,,,,,,
140.00714,1923,9483,7034,9062,,,,,,,,,,,,,
140.00714,2491,8751,6036,8436,,,,,,,,,,,,,
140.00714,1403,9787,2434,7449,,,,,,,,,,,,,
140.00714,2159,9070,4209,4016,,,,,,,,,,,,,
140.00714,2143,5966,4267,6245,,,,,,,,,,,,,
140.00714,1757,9478,4634,2697,,,,,,,,,,,,,
140.00714,2653,4429,5569,4086,,,,,,,,,,,,,
140.00714,2621,3581,8757,6057,,,,,,,,,,,,,
140.00714,2097,6574,6174,6206,,,,,,,,,,,,,
140.00714,2423,8551,6695,5039,,,,,,,,,,,,,
140.00714,2167,7132,4338,9181,,,,,,,,,,,,,
140.00714,1829,5694,3025,9108,,,,,,,,,,,,,
140.00714,2779,9282,4831,6442,,,,,,,,,,,,,
140.00714,2223,4698,6445,5383,,,,,,,,,,,,,
140.00714,2871,4952,7239,5014,,,,,,,,,,,,,
140.00714,2661,3703,6533,5163,,,,,,,,,,,,,
140.00714,1885,2473,3976,2779,,,,,,,,,,,,,
140.00714,2181,7274,3923,8043,,,,,,,,,,,,,
140.00714,3745,8200,6954,8805,,,,,,,,,,,,,
140.00714,2119,5135,3864,2667,,,,,,,,,,,,,
140.00714,2467,5222,4939,8916,,,,,,,,,,,,,
140.00714,1019,9438,2097,1297,,,,,,,,,,,,,
140.00714,1507,7699,3650,3877,,,,,,,,,,,,,
140.00714,2341,3176,6119,6472,,,,,,,,,,,,,
140.00714,1863,7843,4860,3966,,,,,,,,,,,,,
140.00714,2699,7539,6618,7027,,,,,,,,,,,,,
140.00714,2763,4194,8319,3671,,,,,,,,,,,,,
140.00714,2067,9577,3879,2823,,,,,,,,,,,,,
140.00714,2473,9029,7224,7893,,,,,,,,,,,,,
140.00714,3537,5334,7195,8196,,,,,,,,,,,,,
140.00714,1089,3433,1843,7547,,,,,,,,,,,,,
140.00714,2163,9444,4115,9240,,,,,,,,,,,,,
140.00714,3175,7159,7889,5381,,,,,,,,,,,,,
140.00714,2639,8806,7283,4045,,,,,,,,,,,,,
140.00714,1705,5541,4125,6041,,,,,,,,,,,,,
140.00714,1049,3457,1423,3391,,,,,,,,,,,,,
140.00714,1025,1269,1766,9782,,,,,,,,,,,,,
140.00714,2387,3112,4273,3287,,,,,,,,,,,,,
140.00714,2337,2621,4638,4862,,,,,,,,,,,,,
140.00714,2489,4005,5966,3176,,,,,,,,,,,,,
140.00714,2621,3152,4824,6259,,,,,,,,,,,,,
140.00714,1277,7748,1719,7790,,,,,,,,,,,,,
140.00714,1173,1287,2708,2212,,,,,,,,,,,,,
140.00714,1733,9281,9524,2575,,,,,,,,,,,,,
140.00714,3465,8193,9087,5623,,,,,,,,,,,,,
140.00714,1915,9226,3299,9453,,,,,,,,,,,,,
140.00714,1965,3075,4664,8213,,,,,,,,,,,,,
140.00714,2999,7608,8752,4719,,,,,,,,,,,,,
140.00714,3057,6845,6728,7318,,,,,,,,,,,,,
140.00714,2675,6088,6444,5672,,,,,,,,,,,,,
140.00714,3225,4223,7669,3936,,,,,,,,,,,,,
140.00714,2845,7682,6105,3852,,,,,,,,,,,,,
140.00714,2777,8968,6596,5558,,,,,,,,,,,,,
140.00714,2697,5791,9333,3582,,,,,,,,,,,,,
140.00714,2591,4160,5645,4625,,,,,,,,,,,,,
140.00714,2821,6807,4957,3966,,,,,,,,,,,,,
